Date référence;Numéro commune;Nom commune;RSA ou PPA;Nombre foyers RSA_PPA;Nombre personnes RSA_PPA
2020-12;59462;PHALEMPIN;RSA seul;40;55
2020-12;59465;POMMEREUIL;RSA seul;10;20
2020-12;59467;PONT SUR SAMBRE;RSA seul;70;150
2020-12;59472;PREUX AU BOIS;RSA seul;10;15
2020-12;59475;PROUVY;RSA seul;60;120
2020-12;59477;PROVIN;RSA seul;80;165
2020-12;49235;PARNAY;RSA seul;0;0
2020-12;50181;FEUGERES;RSA seul;5;15
2020-12;50183;FIERVILLE LES MINES;RSA seul;5;5
2020-12;50184;FLAMANVILLE;RSA seul;10;15
2020-12;50190;FONTENAY SUR MER;RSA seul;5;5
2020-12;50194;FRESVILLE;RSA seul;0;0
2020-12;50199;GENETS;RSA seul;5;5
2020-12;50205;LA GODEFROY;RSA seul;0;0
2020-12;50210;GORGES;RSA seul;0;0
2020-12;50215;GOUVILLE SUR MER;RSA seul;20;25
2020-12;50216;GRAIGNES MESNIL ANGOT;RSA seul;10;15
2020-12;50219;GRATOT;RSA seul;5;5
2020-12;50222;GROSVILLE;RSA seul;0;0
2020-12;50229;HAMELIN;RSA seul;0;0
2020-12;50234;LA HAYE BELLEFOND;RSA seul;0;0
2020-12;50236;LA HAYE;RSA seul;55;100
2020-12;50239;THEREVAL;RSA seul;5;10
