"EC_MEASURE";"FREQ";"GEO";"GEO_OBJECT";"OBS_STATUS_FR";"TIME_PERIOD";"OBS_VALUE"
"LVB_CUMR";"A";"99";"OTHER";"D";2020;137
"LVB";"M";"04";"DEP";"D";2021-12;111
"LVB";"M";"83";"DEP";"PROV";2025-04;678
"LVB";"A";"37";"DEP";"D";2024;5423
"LVB";"M";"13";"DEP";"D";2024-02;1740
"LVB_CUMR";"A";"972";"DEP";"D";2017;264
"LVB";"M";"2A";"DEP";"D";2024-11;106
"LVB";"M";"973";"DEP";"D";2023-07;605
"LVB";"M";"68";"DEP";"D";2024-12;531
"LVB";"M";"23";"DEP";"PROV";2025-04;61
"LVB";"M";"10";"DEP";"D";2021-07;277
"LVB";"M";"84";"DEP";"PROV";2025-06;392
"LVB_CUMR";"A";"92";"DEP";"D";2019;1888
"LVB";"M";"05";"DEP";"PROV";2025-08;86
"LVB";"M";"36";"DEP";"D";2024-07;129
"LVB";"M";"976";"DEP";"D";2021-11;742
"LVB";"M";"67";"DEP";"D";2021-04;983
"LVB_CUMR";"A";"18";"DEP";"D";2024;205
"LVB";"M";"2B";"DEP";"D";2023-06;118
"LVB_CUMR";"A";"22";"DEP";"D";2022;421
"LVB";"M";"09";"DEP";"D";2023-10;103
"LVB";"M";"28";"DEP";"D";2021-07;340
"LVB";"M";"81";"DEP";"D";2024-04;203
"LVB";"M";"971";"DEP";"D";2023-10;370
"LVB";"M";"40";"DEP";"PROV";2025-03;227
"LVB";"M";"974";"DEP";"D";2023-09;1061
"LVB";"M";"06";"DEP";"D";2024-01;843
"LVB";"A";"83";"DEP";"D";2020;10282
"LVB";"M";"17";"DEP";"D";2021-10;462
"LVB_CUMR";"A";"72";"DEP";"D";2016;528
"LVB";"M";"81";"DEP";"D";2022-04;281
"LVB";"A";"22";"DEP";"D";2024;4599
"LVB";"M";"11";"DEP";"PROV";2025-05;201
"LVB";"M";"26";"DEP";"D";2023-01;382
"LVB";"M";"37";"DEP";"D";2024-04;437
"LVB";"M";"71";"DEP";"PROV";2025-11;338
"LVB";"M";"972";"DEP";"D";2021-04;249
"LVB_MEAN1";"M";"F";"FRANCE";"D";2021-08;2122
"LVB_CUMR";"A";"04";"DEP";"D";2022;106
"LVB";"M";"13";"DEP";"D";2023-08;1956
"LVB";"A";"85";"DEP";"D";2022;5896
"LVB";"M";"11";"DEP";"D";2024-01;235
"LVB";"A";"19";"DEP";"D";2021;1863
"LVB";"M";"23";"DEP";"D";2023-03;63
"LVB";"M";"971";"DEP";"D";2024-12;319
"LVB";"M";"36";"DEP";"PROV";2025-08;116
"LVB_CUMR";"A";"27";"DEP";"D";2024;460
"LVB";"M";"67";"DEP";"D";2021-01;830
"LVB_CUMR";"A";"974";"DEP";"D";2023;1034
"LVB";"M";"80";"DEP";"PROV";2025-09;417
"LVB";"M";"05";"DEP";"D";2023-05;93
"LVB_CUMR";"A";"19";"DEP";"D";2019;185
"LVB";"M";"30";"DEP";"D";2021-07;676
"LVB";"M";"11";"DEP";"PROV";2025-09;212
"LVB";"M";"91";"DEP";"D";2023-08;1468
"LVB";"A";"25";"DEP";"D";2016;6344
"LVB_CUMR";"A";"41";"DEP";"D";2023;238
"LVB";"M";"82";"DEP";"D";2024-06;189
"LVB";"M";"99";"OTHER";"PROV";2025-06;89
"LVB";"M";"69";"DEP";"D";2021-01;1702
"LVB";"M";"06";"DEP";"D";2024-02;743
"LVB";"A";"94";"DEP";"D";2018;20368
"LVB";"M";"10";"DEP";"D";2024-02;225
"LVB";"M";"17";"DEP";"D";2021-08;494
"LVB";"M";"23";"DEP";"D";2022-11;67
"LVB";"M";"2A";"DEP";"D";2023-01;106
"LVB";"A";"42";"DEP";"D";2023;7326
"LVB";"M";"83";"DEP";"D";2021-10;998
"LVB";"M";"F";"FRANCE";"D";2023-12;55454
"LVB";"M";"95";"DEP";"D";2024-05;1482
"LVB";"M";"69";"DEP";"D";2021-05;2045
"LVB";"M";"02";"DEP";"D";2023-07;478
"LVB";"M";"10";"DEP";"D";2023-07;264
"LVB";"M";"14";"DEP";"D";2021-09;590
"LVB";"M";"974";"DEP";"D";2023-12;1004
"LVB_CUMR";"A";"27";"DEP";"D";2022;545
"LVB";"M";"38";"DEP";"PROV";2025-09;950
"LVB";"M";"18";"DEP";"PROV";2025-10;227
"LVB";"A";"24";"DEP";"PROV";2025;2646
"LVB";"M";"83";"DEP";"D";2022-05;872
"LVB";"M";"71";"DEP";"D";2021-10;415
"LVB";"M";"93";"DEP";"D";2023-04;1926
"LVB";"M";"12";"DEP";"D";2024-06;141
"LVB";"M";"95";"DEP";"D";2023-03;1488
"LVB";"M";"F";"FRANCE";"D";2024-12;54025
"LVB";"M";"36";"DEP";"PROV";2025-01;137
"LVB";"M";"68";"DEP";"PROV";2025-11;498
"LVB";"M";"02";"DEP";"D";2024-06;373
"LVB";"M";"15";"DEP";"PROV";2025-04;79
"LVB";"M";"21";"DEP";"D";2023-01;357
"LVB";"M";"85";"DEP";"D";2021-09;515
"LVB";"M";"27";"DEP";"D";2023-09;426
"LVB";"M";"99";"OTHER";"D";2023-03;85
"LVB";"M";"92";"DEP";"D";2021-01;1472
"LVB";"M";"82";"DEP";"D";2022-02;190
"LVB";"M";"18";"DEP";"D";2024-10;203
"LVB";"M";"37";"DEP";"D";2021-05;469
"LVB";"M";"12";"DEP";"D";2022-04;160
"LVB";"M";"71";"DEP";"PROV";2026-01;362
"LVB";"A";"04";"DEP";"PROV";2025;1269
"LVB_CUMR";"A";"21";"DEP";"PROV";2026;342
"LVB";"M";"13";"DEP";"D";2021-03;2019
"LVB";"A";"27";"DEP";"PROV";2025;5249
"LVB";"M";"972";"DEP";"D";2024-07;246
