Date référence;Numéro commune;Nom commune;RSA ou PPA;Nombre foyers RSA_PPA;Nombre personnes RSA_PPA
2024-12;27230;EZY SUR EURE;RSA seul;35;60
2024-12;27232;FARCEAUX;RSA seul;5;5
2024-12;27233;FATOUVILLE GRESTAIN;RSA seul;5;15
2024-12;27239;FERRIERES SAINT HILAIRE;RSA seul;0;0
2024-12;27242;LE FIDELAIRE;RSA seul;5;5
2024-12;27243;FIQUEFLEUR EQUAINVILLE;RSA seul;0;0
2024-12;27263;LE PERREY;RSA seul;5;15
2024-12;27267;FRENEUSE SUR RISLE;RSA seul;0;0
2024-12;27269;FRESNE CAUVERVILLE;RSA seul;0;0
2024-12;27275;GAILLON;RSA seul;235;470
2024-12;07333;VANOSC;RSA seul;5;5
2024-12;07336;VERNON;RSA seul;5;5
2024-12;07337;VERNOSC LES ANNONAY;RSA seul;5;15
2024-12;07342;VILLEVOCANCE;RSA seul;5;10
2024-12;07345;VION;RSA seul;10;25
2024-12;07348;VOGUE;RSA seul;5;10
2024-12;07349;LA VOULTE SUR RHONE;RSA seul;80;180
2024-12;08003;AIGLEMONT;RSA seul;10;20
2024-12;08005;ALINCOURT;RSA seul;0;0
2024-12;08010;AMBLY FLEURY;RSA seul;0;0
2024-12;08013;ANGECOURT;RSA seul;10;20
2024-12;08020;LES PETITES ARMOISES;RSA seul;0;0
2024-12;08021;ARNICOURT;RSA seul;0;0
2024-12;08029;AUFLANCE;RSA seul;0;0
2024-12;08035;AUTRUCHE;RSA seul;0;0
